Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DuoApp,,,,2022-07-13 20:33:50,2022-07-13 20:35:11,1m - 21.425s,PASSED
,,,,,,,
Test Cases/Calculator/Multiplication,,,,2022-07-13 20:33:50,2022-07-13 20:34:21,30.874s,PASSED
"startApplication(appPath, false)",,,,2022-07-13 20:33:51,2022-07-13 20:34:12,21.146s,PASSED
"tap(findTestObject(""MobileSpy/One.Button""), 0)",,,,2022-07-13 20:34:12,2022-07-13 20:34:15,2.494s,PASSED
"tap(findTestObject(""MobileSpy/Times.Button""), 0)",,,,2022-07-13 20:34:15,2022-07-13 20:34:16,1.239s,PASSED
"tap(findTestObject(""MobileSpy/Second.Button""), 0)",,,,2022-07-13 20:34:16,2022-07-13 20:34:17,1.377s,PASSED
"tap(findTestObject(""MobileSpy/Equals.Button""), 0)",,,,2022-07-13 20:34:17,2022-07-13 20:34:19,1.191s,PASSED
"verifyElementVisible(findTestObject(""MobileSpy/Result.TextView""), 0)",,,,2022-07-13 20:34:19,2022-07-13 20:34:20,1.616s,PASSED
closeApplication(),,,,2022-07-13 20:34:20,2022-07-13 20:34:21,1.181s,PASSED
,,,,,,,
Test Cases/OpenDetail,,,,2022-07-13 20:34:21,2022-07-13 20:35:11,49.988s,PASSED
"startApplication(""/Users/queenels/Katalon Studio/EduApp/App/app-pendaki.apk"", true)",,,,2022-07-13 20:34:22,2022-07-13 20:34:47,25.212s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-07-13 20:34:47,2022-07-13 20:34:50,3.091s,PASSED
"tap(findTestObject(""Object Repository/Mobile/ListPictureImageView""), 0)",,,,2022-07-13 20:34:50,2022-07-13 20:34:51,1.288s,PASSED
"scrollToText(""Argopoera"")",,,,2022-07-13 20:34:51,2022-07-13 20:35:06,14.162s,PASSED
"tap(findTestObject(""Object Repository/Mobile/BackImageButton""), 0)",,,,2022-07-13 20:35:06,2022-07-13 20:35:06,0.470s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-07-13 20:35:06,2022-07-13 20:35:09,3.011s,PASSED
closeApplication(),,,,2022-07-13 20:35:09,2022-07-13 20:35:11,2.224s,PASSED
